GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RulesDemo,com.acclivyx.webservice,RulesService,36,0,0,0,9,0,2,0,2,0
RulesDemo,com.acclivyx.webservice,RulesServiceExceptionMapper,14,0,0,0,2,0,2,0,2,0
RulesDemo,com.acclivyx.rules.exceptions,RuleArgsInvalid,0,4,0,0,0,2,0,1,0,1
RulesDemo,com.acclivyx.rules.sequenceintegerrules,AverageIsGreaterThenRule,0,52,0,4,0,8,0,4,0,2
RulesDemo,com.acclivyx.rules.sequenceintegerrules,TwoArgsGreaterThenRule,0,57,0,6,0,14,0,5,0,2
RulesDemo,com.acclivyx.rules.sequenceintegerrules,TwoArgsSpanGreaterThenRule,0,63,0,6,0,17,0,5,0,2
RulesDemo,com.acclivyx.rules.runner,RulesRunner,0,46,0,4,0,8,0,4,0,2
RulesDemo,com.acclivyx.rules.factory,RulesFactory,3,47,1,3,1,11,1,5,0,4
RulesDemo,com.acclivyx.rules.action,RuleAction,61,0,0,0,19,0,8,0,8,0
RulesDemo,com.acclivyx.main,RuleRunnerDemo,31,46,3,7,7,13,3,5,1,2
RulesDemo,com.acclivyx.rules.args,RuleIntegerArgs,0,68,0,6,0,14,0,6,0,3
RulesDemo,com.acclivyx.util,Log,7,0,0,0,3,0,2,0,2,0
RulesDemo,com.acclivyx.rules,Rule,0,6,0,0,0,3,0,1,0,1
RulesDemo,com.acclivyx.rules,RuleResult,3,30,0,2,1,7,1,5,1,4
RulesDemo,com.acclivyx.rules,SequenceIntegerRule,0,41,0,4,0,8,0,4,0,2
RulesDemo,com.acclivyx.rules.model,Data,20,0,2,0,7,0,5,0,4,0
RulesDemo,com.acclivyx.loader,RulesLoader,0,30,0,2,0,7,0,3,0,2
